Company,Location,Source,Type,Education,Years of Experience Required,Skills,Salary_New_Processed,JobTitle_New
Workoo Technologies,NY,ZipRecruiter,Full-time,Any Degree,5.0,"Python, SQL, Tableau, Analytics, Business Intelligence, Visualization",100000.0,Data Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
Crunch Fitness,NY,Company Website,Full-time,Bachelors,5,"Tableau, Analytics, Excel",100000.0,Data Analyst
Red Bull New York,NJ,Company Website,Full-time,Any Degree,5.0,,158230.0,Business Intelligence Analyst
Mercy University,NY,Company Website,Full-time,Any Degree,5.0,"SQL, Excel",100000.0,Data Analyst
Meta,NY,LinkedIn,Full-time,PHD,2,"Python, SQL, Analytics",195000.0,Data Scientist
Amex,NY,Indeed,Full-time,Bachelors,5.0,,100000.0,Data Analyst
New York City Economic Development Corporation,NY,ZipRecruiter,Full-time,Any Degree,5.0,Excel,69000.0,Data Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
Munich Re Life US,NY,Glassdoor,Internship,Any Degree,0,Python,166000.0,Data Engineer
Twelve Labs,NY,Company Website,Part-time,Any Degree,5.0,Visualization,91520.0,Business Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
IPRO,NY,Company Website,Full-time,Any Degree,5.0,,100000.0,Data Analyst
Sustainable Engineering Services,NJ,Glassdoor,Full-time,Bachelors,5.0,"Python, SQL, ETL, Data Visualization, Visualization",100000.0,Data Analyst
Agoda,NY,LinkedIn,Full-time,Bachelors,2,"SQL, Excel, Data Visualization, Visualization",8320.0,Data Analyst
"Early Warning Services, LLC",NY,ZipRecruiter,Full-time,Bachelors,4,"SQL, Tableau, Data Analytics, Analytics, Data Visualization, Visualization",125000.0,Data Analyst
Matlen Silvser,NJ,Company Website,Full-time,Any Degree,8,SQL,116480.0,Business Analyst
"Neotecra, Inc",NY,Indeed,Part-time,Any Degree,4,Excel,100000.0,Data Analyst
ComTec Information Systems,NJ,Company Website,Full-time,Any Degree,3,Excel,100000.0,Data Analyst
Horizon Blue Cross Blue Shield of New Jersey,NJ,Company Website,Full-time,Any Degree,6,"SQL, Tableau, Analytics, Excel",100000.0,Data Analyst
Ridgewood Savings Bank,NY,ZipRecruiter,Full-time,Bachelors,3,"SQL, Tableau, Power BI",85000.0,Data Analyst
iSay,NY,Company Website,Part-time,Any Degree,18,,6240.0,Data Analyst
Booz Allen,NJ,Company Website,Full-time,Any Degree,5.0,"Tableau, AWS, GCP, Azure, Cloud, ETL, Data Visualization, Visualization",100000.0,Data Analyst
